iter	Logloss
0	0.6871137725
1	0.6803538893
2	0.6742828928
3	0.6686214839
4	0.66266766
5	0.6568711974
6	0.6514202397
7	0.6460372953
8	0.6399882852
9	0.6350931569
10	0.6301955213
11	0.6251808587
12	0.6200750279
13	0.6151211312
14	0.6106776729
15	0.606194146
16	0.6021911608
17	0.5980291424
18	0.5937433521
19	0.5895907842
20	0.5858805908
21	0.5815184506
22	0.5784841056
23	0.5745450322
24	0.5706901975
25	0.5670994848
26	0.5635940961
27	0.5600295526
28	0.5564205145
29	0.553236085
30	0.5497426246
31	0.5465524937
32	0.5435710125
33	0.5418871467
34	0.5394256449
35	0.5365132912
36	0.533766273
37	0.5305569294
38	0.5281690395
39	0.5255910215
40	0.5242151726
41	0.5218112829
42	0.51926462
43	0.5168571351
44	0.5141066617
45	0.5122700207
46	0.5097742315
47	0.5076885524
48	0.5050233296
49	0.5025889126
50	0.5003989576
51	0.4980162169
52	0.4960602119
53	0.4937008397
54	0.4919822985
55	0.4898766108
56	0.4880199394
57	0.4864409656
58	0.4843427071
59	0.4821311395
60	0.4802279125
61	0.4784520844
62	0.4767216448
63	0.4749934794
64	0.4733873862
65	0.4721399152
66	0.4710372787
67	0.4692689825
68	0.4676468402
69	0.4660536932
70	0.4648001861
71	0.4641586273
72	0.4623210184
73	0.4608573554
74	0.4596105987
75	0.4577970565
76	0.4566464666
77	0.455681138
78	0.4547064104
79	0.4534422969
80	0.452194088
81	0.4509192207
82	0.4499438437
83	0.4485855617
84	0.447103924
85	0.4456347789
86	0.4445289013
87	0.4437704002
88	0.4422210744
89	0.4406740548
90	0.4392585296
91	0.4380746792
92	0.4368076823
93	0.435292783
94	0.4341170411
95	0.4327142651
96	0.4315482552
97	0.4300847223
98	0.4289573165
99	0.42785618
100	0.4270058694
101	0.426101278
102	0.4254299339
103	0.4243753667
104	0.4235048405
105	0.4224152833
106	0.4213627847
107	0.4203289969
108	0.4192394601
109	0.4182433977
110	0.4170694847
111	0.4159881937
112	0.4147934088
113	0.4139920224
114	0.4132586841
115	0.4126435099
116	0.4117240842
117	0.410893595
118	0.4099940283
119	0.409285471
120	0.4087397583
121	0.4080220543
122	0.4070287959
123	0.4062261369
124	0.4055979173
125	0.4049807805
126	0.4042539371
127	0.4032946236
128	0.402626506
129	0.4019282746
130	0.4013391894
131	0.40052856
132	0.3997782252
133	0.3991744045
134	0.3987613843
135	0.3982419532
136	0.397608647
137	0.3969745126
138	0.3964168229
139	0.395924869
140	0.3952444332
141	0.3946957524
142	0.3938024201
143	0.3930874374
144	0.392405858
145	0.3918335432
146	0.3913275583
147	0.3907968195
148	0.3900397079
149	0.389240409
150	0.3884776142
151	0.3880176021
152	0.3872453151
153	0.3866943605
154	0.3861173011
155	0.3856093532
156	0.3852839276
157	0.3847227755
158	0.384121797
159	0.3837399302
160	0.3832194027
161	0.3826742603
162	0.3822770724
163	0.3818067659
164	0.3813150388
165	0.3807829909
166	0.3804457624
167	0.3799381506
168	0.3792374747
169	0.3789794324
170	0.3783935336
171	0.377978457
172	0.3776633401
173	0.3772449642
174	0.3768788999
175	0.3761968331
