iter	Passed	Remaining
0	17	17185
1	49	24914
2	85	28552
3	113	28253
4	135	26973
5	158	26312
6	181	25762
7	195	24233
8	210	23192
9	222	21980
10	233	21034
11	246	20269
12	258	19614
13	271	19150
14	283	18634
15	295	18174
16	306	17731
17	318	17375
18	331	17105
19	343	16855
20	357	16687
21	371	16501
22	378	16092
23	391	15906
24	402	15715
25	417	15658
26	431	15541
27	443	15407
28	454	15225
29	466	15091
30	478	14958
31	490	14840
32	502	14713
33	509	14476
34	517	14275
35	529	14183
36	541	14100
37	553	14015
38	564	13902
39	576	13836
40	580	13589
41	590	13464
42	601	13382
43	613	13319
44	624	13258
45	632	13119
46	644	13076
47	656	13012
48	668	12973
49	680	12927
50	693	12897
51	704	12849
52	717	12816
53	730	12789
54	745	12812
55	762	12861
56	776	12840
57	787	12786
58	799	12746
59	811	12716
60	823	12682
61	835	12636
62	847	12612
63	860	12586
64	873	12561
65	884	12518
66	893	12437
67	905	12411
68	917	12376
69	929	12347
70	941	12316
71	945	12191
72	957	12160
73	968	12121
74	981	12110
75	994	12094
76	1007	12071
77	1018	12034
78	1030	12009
79	1043	12004
80	1056	11989
81	1067	11954
82	1079	11928
83	1091	11901
84	1102	11866
85	1114	11840
86	1126	11818
87	1137	11790
88	1148	11756
89	1160	11731
90	1172	11709
91	1183	11678
92	1195	11661
93	1207	11640
94	1219	11613
95	1230	11585
96	1241	11561
97	1253	11534
98	1264	11503
99	1276	11492
100	1286	11453
101	1297	11423
102	1309	11401
103	1321	11381
104	1332	11355
105	1344	11337
106	1356	11318
107	1367	11291
108	1378	11270
109	1390	11251
110	1401	11227
111	1412	11202
112	1425	11186
113	1436	11165
114	1447	11139
115	1459	11121
116	1471	11102
117	1481	11074
118	1493	11055
119	1505	11037
120	1516	11015
121	1527	10995
122	1539	10976
123	1551	10958
124	1562	10935
125	1574	10919
126	1585	10902
127	1597	10879
128	1608	10863
129	1620	10847
130	1631	10823
131	1643	10806
132	1655	10790
133	1667	10777
134	1679	10763
135	1692	10749
136	1703	10731
137	1714	10710
138	1726	10691
139	1737	10675
140	1749	10656
141	1760	10637
142	1773	10629
143	1785	10613
144	1797	10600
145	1811	10593
146	1827	10604
147	1849	10647
148	1863	10645
149	1879	10648
150	1896	10662
151	1911	10664
152	1926	10667
153	1939	10653
154	1950	10635
155	1961	10614
156	1974	10601
157	1987	10593
158	2000	10580
159	2011	10558
160	2023	10543
161	2035	10529
162	2047	10512
163	2058	10492
164	2070	10478
165	2100	10550
166	2111	10533
167	2124	10518
168	2136	10503
169	2148	10488
170	2159	10468
171	2171	10452
172	2183	10436
173	2194	10419
174	2213	10433
175	2225	10421
176	2241	10421
177	2256	10420
178	2271	10416
179	2286	10416
180	2302	10420
181	2320	10427
182	2338	10441
183	2354	10441
184	2368	10432
185	2380	10416
186	2391	10396
187	2403	10381
188	2415	10365
189	2426	10345
190	2438	10328
191	2450	10310
192	2461	10293
193	2472	10274
194	2485	10258
195	2497	10244
196	2508	10224
197	2519	10203
198	2529	10180
199	2539	10157
200	2552	10145
201	2565	10133
202	2576	10116
203	2587	10096
204	2599	10080
205	2611	10066
206	2622	10046
207	2629	10012
208	2640	9994
209	2653	9981
210	2664	9965
211	2671	9928
212	2683	9914
213	2696	9903
214	2707	9884
215	2718	9868
216	2730	9852
217	2742	9836
218	2753	9819
219	2765	9805
220	2777	9791
221	2788	9772
222	2800	9758
223	2812	9743
224	2824	9727
225	2836	9713
226	2850	9708
227	2865	9701
228	2882	9706
229	2897	9700
230	2912	9696
231	2930	9700
232	2949	9709
233	2966	9709
234	2981	9704
235	2993	9692
236	3005	9675
237	3017	9660
238	3029	9645
239	3040	9628
240	3051	9610
241	3063	9595
242	3075	9580
243	3085	9561
244	3098	9547
245	3110	9532
246	3120	9514
247	3132	9498
248	3145	9485
249	3152	9458
250	3165	9446
251	3179	9436
252	3191	9421
253	3201	9403
254	3215	9393
255	3228	9381
256	3239	9366
257	3250	9348
258	3262	9333
259	3274	9318
260	3278	9282
261	3291	9272
262	3298	9242
263	3312	9235
264	3327	9229
265	3342	9223
266	3353	9207
267	3369	9203
268	3388	9206
269	3407	9211
270	3424	9210
271	3441	9211
272	3454	9200
273	3469	9193
274	3483	9182
275	3496	9171
276	3509	9159
277	3521	9145
278	3533	9130
279	3563	9162
280	3576	9152
281	3589	9140
282	3601	9125
283	3615	9114
284	3628	9102
285	3641	9092
286	3654	9078
287	3665	9063
288	3677	9047
289	3683	9019
290	3693	8999
291	3706	8988
292	3709	8951
293	3721	8935
294	3733	8922
295	3746	8910
296	3759	8899
297	3768	8876
298	3780	8862
299	3793	8851
300	3802	8830
301	3814	8816
302	3828	8806
303	3833	8777
304	3839	8749
305	3852	8736
306	3855	8703
307	3864	8682
308	3875	8667
309	3884	8646
310	3896	8633
311	3910	8622
312	3922	8610
313	3927	8580
314	3940	8567
315	3944	8538
316	3957	8527
317	3961	8494
318	3974	8484
319	3977	8451
320	3984	8428
321	3996	8414
322	4009	8403
323	4012	8371
324	4025	8360
325	4038	8349
326	4044	8324
327	4058	8314
328	4061	8282
329	4074	8271
330	4087	8261
331	4097	8244
332	4107	8226
333	4120	8215
334	4131	8200
335	4144	8191
336	4154	8173
337	4157	8143
338	4172	8135
339	4185	8124
340	4200	8117
341	4218	8116
342	4235	8113
343	4253	8111
344	4266	8100
345	4275	8082
346	4286	8066
347	4297	8052
348	4308	8036
349	4319	8021
350	4332	8010
351	4341	7992
352	4353	7979
353	4356	7949
354	4366	7933
355	4377	7918
356	4390	7908
357	4397	7886
358	4406	7867
359	4418	7854
360	4426	7835
361	4439	7823
362	4452	7813
363	4457	7788
364	4462	7763
365	4468	7740
366	4479	7726
367	4487	7706
368	4497	7690
369	4509	7678
370	4516	7657
371	4530	7647
372	4541	7633
373	4549	7615
374	4557	7596
375	4566	7578
376	4578	7565
377	4589	7552
378	4601	7540
379	4607	7517
380	4619	7504
381	4625	7482
382	4636	7469
383	4639	7442
384	4650	7429
385	4660	7412
386	4671	7399
387	4683	7387
388	4692	7370
389	4704	7358
390	4716	7346
391	4729	7334
392	4735	7313
393	4746	7301
394	4757	7287
395	4769	7275
396	4780	7260
397	4789	7243
398	4794	7221
399	4805	7207
400	4809	7184
401	4821	7172
402	4829	7153
403	4833	7130
404	4845	7118
405	4856	7105
406	4867	7092
407	4874	7072
408	4879	7050
409	4889	7036
410	4897	7018
411	4910	7007
412	4927	7003
413	4942	6995
414	4962	6995
415	4974	6983
416	4981	6964
417	4988	6946
418	5002	6936
419	5010	6919
420	5022	6907
421	5039	6901
422	5049	6887
423	5054	6867
424	5065	6853
425	5077	6842
426	5089	6829
427	5103	6820
428	5116	6809
429	5129	6799
430	5141	6787
431	5147	6768
432	5157	6753
433	5160	6729
434	5171	6717
435	5177	6697
436	5183	6677
437	5195	6666
438	5208	6655
439	5219	6642
440	5232	6633
441	5236	6610
442	5239	6588
443	5245	6569
444	5250	6548
445	5257	6530
446	5268	6517
447	5279	6505
448	5285	6486
449	5296	6473
450	5306	6459
451	5312	6440
452	5323	6427
453	5334	6415
454	5338	6394
455	5350	6382
456	5362	6371
457	5374	6360
458	5386	6348
459	5397	6335
460	5409	6324
461	5417	6308
462	5428	6295
463	5439	6283
464	5451	6272
465	5456	6252
466	5467	6240
467	5478	6227
468	5488	6214
469	5493	6194
470	5505	6182
471	5516	6171
472	5525	6155
473	5527	6134
474	5539	6122
475	5550	6110
476	5561	6098
477	5567	6080
478	5572	6060
479	5583	6049
480	5594	6036
481	5606	6025
482	5613	6008
483	5624	5996
484	5633	5982
485	5644	5969
486	5656	5958
487	5665	5943
488	5676	5931
489	5688	5920
490	5697	5906
491	5704	5890
492	5716	5878
493	5727	5866
494	5739	5855
495	5743	5836
496	5750	5820
497	5762	5808
498	5769	5792
499	5775	5775
500	5786	5763
501	5798	5752
502	5810	5741
503	5823	5731
504	5835	5720
505	5847	5708
506	5850	5688
507	5856	5671
508	5860	5653
509	5872	5642
510	5875	5622
511	5887	5611
512	5893	5595
513	5902	5581
514	5913	5569
515	5925	5558
516	5938	5547
517	5954	5540
518	5973	5536
519	5980	5520
520	5983	5501
521	5998	5492
522	6004	5476
523	6015	5464
524	6019	5445
525	6031	5434
526	6045	5425
527	6058	5416
528	6075	5409
529	6085	5396
530	6090	5379
531	6093	5360
532	6096	5341
533	6106	5328
534	6118	5317
535	6130	5306
536	6141	5294
537	6154	5285
538	6159	5267
539	6171	5257
540	6177	5240
541	6188	5229
542	6196	5214
543	6207	5203
544	6210	5185
545	6217	5169
546	6228	5158
547	6233	5141
548	6246	5131
549	6254	5117
550	6263	5103
551	6269	5088
552	6281	5077
553	6293	5066
554	6298	5049
555	6302	5033
556	6306	5016
557	6319	5005
558	6331	4994
559	6342	4983
560	6354	4972
561	6366	4961
562	6378	4950
563	6383	4934
564	6394	4923
565	6405	4911
566	6414	4898
567	6426	4887
568	6437	4876
569	6440	4858
570	6445	4842
571	6448	4824
572	6453	4809
573	6459	4793
574	6469	4782
575	6476	4767
576	6485	4754
577	6492	4740
578	6497	4724
579	6499	4706
580	6511	4695
581	6522	4684
582	6534	4673
583	6539	4658
584	6543	4641
585	6548	4626
586	6552	4609
587	6564	4599
588	6576	4589
589	6585	4576
590	6597	4566
591	6609	4555
592	6620	4544
593	6632	4533
594	6641	4520
595	6651	4509
596	6658	4495
597	6669	4483
598	6676	4469
599	6687	4458
600	6693	4443
601	6706	4433
602	6713	4420
603	6725	4409
604	6732	4395
605	6744	4384
606	6755	4373
607	6766	4362
608	6779	4352
609	6828	4365
610	6838	4354
611	6863	4351
612	6871	4338
613	6881	4326
614	6899	4319
615	6921	4314
616	6937	4306
617	6950	4296
618	6962	4285
619	6974	4274
620	6980	4260
621	6992	4249
622	7004	4238
623	7015	4227
624	7027	4216
625	7040	4206
626	7051	4194
627	7059	4181
628	7071	4171
629	7085	4161
630	7098	4151
631	7108	4139
632	7120	4128
633	7129	4115
634	7141	4104
635	7146	4089
636	7157	4078
637	7168	4067
638	7179	4056
639	7186	4042
640	7191	4027
641	7202	4016
642	7214	4005
643	7225	3994
644	7231	3980
645	7242	3969
646	7254	3958
647	7264	3945
648	7271	3932
649	7275	3917
650	7287	3906
651	7290	3891
652	7297	3877
653	7309	3867
654	7315	3853
655	7327	3842
656	7332	3828
657	7344	3817
658	7351	3803
659	7360	3791
660	7366	3778
661	7378	3767
662	7390	3756
663	7401	3745
664	7409	3732
665	7421	3721
666	7432	3710
667	7435	3695
668	7441	3682
669	7453	3671
670	7464	3659
671	7475	3648
672	7486	3637
673	7497	3626
674	7509	3615
675	7521	3605
676	7533	3594
677	7539	3580
678	7551	3570
679	7562	3558
680	7574	3548
681	7587	3537
682	7591	3523
683	7595	3508
684	7605	3497
685	7616	3486
686	7626	3474
687	7634	3462
688	7646	3451
689	7658	3440
690	7670	3430
691	7676	3416
692	7686	3405
693	7700	3395
694	7712	3384
695	7719	3371
696	7735	3362
697	7749	3353
698	7759	3341
699	7773	3331
700	7788	3321
701	7794	3308
702	7810	3299
703	7818	3287
704	7836	3278
705	7849	3268
706	7860	3257
707	7874	3247
708	7887	3237
709	7893	3224
710	7898	3210
711	7903	3197
712	7915	3186
713	7927	3175
714	7938	3164
715	7944	3151
716	7955	3140
717	7966	3128
718	7971	3115
719	7978	3102
720	7988	3091
721	7999	3080
722	8011	3069
723	8022	3058
724	8034	3047
725	8039	3034
726	8049	3022
727	8061	3011
728	8072	3000
729	8080	2988
730	8091	2977
731	8097	2964
732	8108	2953
733	8116	2941
734	8126	2930
735	8137	2918
736	8150	2908
737	8161	2897
738	8167	2884
739	8179	2873
740	8190	2862
741	8201	2851
742	8212	2840
743	8218	2827
744	8228	2816
745	8239	2805
746	8250	2794
747	8263	2783
748	8274	2772
749	8285	2761
750	8296	2750
751	8307	2739
752	8314	2727
753	8319	2714
754	8325	2701
755	8333	2689
756	8340	2677
757	8346	2664
758	8358	2653
759	8364	2641
760	8368	2628
761	8380	2617
762	8391	2606
763	8402	2595
764	8412	2584
765	8422	2573
766	8431	2561
767	8436	2548
768	8445	2536
769	8456	2526
770	8466	2514
771	8479	2504
772	8491	2493
773	8502	2482
774	8514	2472
775	8521	2459
776	8528	2447
777	8539	2436
778	8552	2426
779	8566	2416
780	8579	2405
781	8593	2395
782	8604	2384
783	8619	2374
784	8629	2363
785	8643	2353
786	8657	2343
787	8672	2333
788	8705	2328
789	8720	2317
790	8726	2305
791	8738	2295
792	8749	2284
793	8761	2273
794	8772	2262
795	8783	2250
796	8797	2240
797	8811	2230
798	8815	2217
799	8828	2207
800	8840	2196
801	8851	2185
802	8857	2172
803	8868	2161
804	8881	2151
805	8893	2140
806	8899	2128
807	8912	2117
808	8924	2106
809	8935	2095
810	8940	2083
811	8951	2072
812	8962	2061
813	8975	2051
814	8989	2040
815	8998	2029
816	9011	2018
817	9015	2005
818	9027	1995
819	9040	1984
820	9053	1973
821	9064	1962
822	9076	1952
823	9089	1941
824	9100	1930
825	9109	1918
826	9120	1908
827	9132	1897
828	9143	1886
829	9155	1875
830	9166	1864
831	9178	1853
832	9192	1842
833	9204	1832
834	9215	1820
835	9227	1810
836	9232	1798
837	9244	1787
838	9258	1776
839	9271	1765
840	9283	1755
841	9289	1743
842	9300	1732
843	9314	1721
844	9321	1709
845	9333	1699
846	9341	1687
847	9354	1676
848	9367	1665
849	9380	1655
850	9392	1644
851	9405	1633
852	9417	1622
853	9428	1611
854	9439	1600
855	9446	1589
856	9457	1578
857	9469	1567
858	9481	1556
859	9491	1545
860	9498	1533
861	9509	1522
862	9521	1511
863	9533	1500
864	9545	1489
865	9556	1478
866	9568	1467
867	9580	1456
868	9592	1446
869	9605	1435
870	9617	1424
871	9629	1413
872	9640	1402
873	9652	1391
874	9664	1380
875	9675	1369
876	9681	1357
877	9687	1346
878	9702	1335
879	9714	1324
880	9720	1312
881	9732	1302
882	9743	1291
883	9754	1280
884	9766	1269
885	9778	1258
886	9788	1247
887	9797	1235
888	9809	1224
889	9823	1214
890	9835	1203
891	9842	1191
892	9854	1180
893	9866	1169
894	9878	1158
895	9889	1147
896	9901	1136
897	9914	1126
898	9926	1115
899	9937	1104
900	9949	1093
901	9961	1082
902	9972	1071
903	9984	1060
904	9996	1049
905	10007	1038
906	10018	1027
907	10031	1016
908	10043	1005
909	10054	994
910	10066	983
911	10078	972
912	10089	961
913	10100	950
914	10112	939
915	10125	928
916	10137	917
917	10149	906
918	10161	895
919	10172	884
920	10183	873
921	10195	862
922	10207	851
923	10218	840
924	10231	829
925	10244	818
926	10256	807
927	10267	796
928	10279	785
929	10290	774
930	10298	763
931	10310	752
932	10321	741
933	10332	730
934	10346	719
935	10358	708
936	10369	697
937	10381	686
938	10393	675
939	10404	664
940	10416	653
941	10428	642
942	10440	631
943	10451	619
944	10464	609
945	10476	598
946	10488	586
947	10499	575
948	10511	564
949	10523	553
950	10534	542
951	10547	531
952	10560	520
953	10572	509
954	10584	498
955	10595	487
956	10607	476
957	10618	465
958	10630	454
959	10642	443
960	10655	432
961	10668	421
962	10680	410
963	10694	399
964	10707	388
965	10719	377
966	10730	366
967	10741	355
968	10753	344
969	10765	332
970	10777	321
971	10790	310
972	10803	299
973	10815	288
974	10827	277
975	10839	266
976	10851	255
977	10862	244
978	10874	233
979	10887	222
980	10899	211
981	10910	199
982	10922	188
983	10934	177
984	10945	166
985	10957	155
986	10969	144
987	10982	133
988	10994	122
989	11006	111
990	11018	100
991	11030	88
992	11041	77
993	11053	66
994	11064	55
995	11075	44
996	11089	33
997	11101	22
998	11113	11
999	11124	0
